# Translations - Expressions
# Format: Regional | French
# Sorted by regional alphabet: ά a b c d f g í j k l m n ŋ o p s t ú v w y ɲ z
============================================================
A bag | C'est mauvais, c'est laid
A bâg tā' | C'est très laid
A bwɔ̌ | C'est bon
A bwɔ̌ | C'est bon
A côb mbə̀ kə? | Qu'a-t-il dit ?
A cwɛ̌d ngônə | Il est malade, elle est malade
A cwɛ̌d nja | Ça fait mal
A cwɛ̌d nkʉ | C'est brûlant
A cwɛ̌d ntônə | Ça chauffe
A dîn | Voilà ça loin de toi
A dîn | Le voilà (loin de toi, et loin de moi)
A dʉ̀mtə̌ | C'est sucré
A fi tsə | Ça va bien
A ghʉ̌ jûsa | Il/elle a des jouets
A kag | C'est petit
A kag | C'est insuffisant
A kàm tā' | Il est très court
A kù' ndʉlα̂ | Ça suffit comme ça
A kù'u | Ça suffit
A kù'u | Ça suffit
A kə nə̂nʉ̄nə̄ | Ce n'est pas vrai
A kə yi | Ce n'est pas lui
A lî | Voici ça
A lî | Le voici
A lα | Voilà ça, près de toi
A lα | Le voilà (près de toi)
A lα nsi | Il est là
A mǐ | C'est fini
A sàgə | C'est long
A vog | C'est court
A vôg tā' | Il est très court
A yαm | C'est beaucoup
A yαm | C'est beaucoup
A zwə̌ | C'est amer
À bə nsi lα | Il est là
À bə zə̀ Nsi bâm nα | S'il plaît à Dieu
À bə α̂ kə? | C'est quoi ?
À bə α̂ kə? | C'est quoi ?
À bə α̂ mə̀ | C'est moi
À bə α̂ ndʉlαlα | C'est comme ça
À bə α̂ ndʉ lα̂ | C'est comme ça
À bə α̂ ndʉα̂ | C'est comme ça
À bə α̂ nə̂nʉ̄nə̄ | C'est vrai
À bə α̂ tadtə̀ | C'est faux, c'est un mensonge
À bə α̂ wə? | C'est qui ?
À bə α̂ wə? | C'est qui ?
À bə α̂ yi | C'est ça
À bə α̂ yi | C'est lui
À bə α̂ yu | C'est pour toi
À bə α̂ yub | C'est pour eux
À bə α̂ yαg | C'est pour nous
À bə α̂ yαm | C'est pour moi
À bə α̂ zin | C'est pour vous
À bə α̂ zə | C'est pour lui
À bə α̂ zə̂ wə? | C'est pour qui ?
À kə̂' bwɔ̀ | Ce n'est pas bon
À kə̂' bwɔ̀ | Ce n'est pas bon
À kə̂' bə nsi | Elle n'est pas là
À kə̂' bə α̂ ndʉ lα̂ | Ce n'est pas comme ça
À kə̂' bə α̂ nə̂nʉ̄nə̄ | Ce n'est pas vrai
À kə̂' bə α̂ yi | Ce n'est pas lui
À kə̂' cob sα̌mju | Elle n'a rien dit
À, a | Il, elle
Â kuà' yi (lα) | C'est exact
Â kə? | C'est quoi ?
Â kə? | C'est quoi ?
Â mə̀ | C'est moi
Â ndʉ̂ kə? | Comment ça va ?
Â ndʉα̂ | C'est comme ça
Â nə̂nʉ̄nə̄ | C'est vrai
Â wə li | Qui est celui-ci ?
Â wə? | C'est qui ?
Â wə? | C'est qui ?
Â yi | C'est ça
Â yi | C'est lui
Â yu | C'est pour toi
Â yub | C'est pour eux
