Medumba,French
i,son
ù,ton
ὰm,mon
άm,mon
a,il
a bwɔ̌,c'est bien
a bwɔ̌ ncʉα̂tə,c'est excellent
a bwɔ̌ tα,c'est très bien
a vʉ̀ lαg,c'est correct
bà,pion
bà,jeton
bǎ,rougir
be,payer
bě,verser un liquide dans un vase
bə,être
bi,couteau
bì,foie
bô,avec
bu,main
bʉ,saluer
bα,folie
bὰ,affolement
bà',maison
bə',igname
bə̀,notre
bià,avocat
bu',paquet
bα̌,tailler
be'e,croiser
bè'e,balayer
bə'ə,casser
bu'u,paquet
bə' nə̀sitə,igname cuit dans la sauce
bʉ̀'ngɔ̀,devise d'un pays
bə̂'nswə,octobre
bu' vʉ,jouer au tam-tam
bà'a,remettre
bà bə̀lòŋ,patate rouge
bə̀bǎ'mbàŋ,éclair
bǒ'bà'nì,variété de courge
bà'fʉ̀n,clé
biαgə,abolir
bu'kì,cahier
bu'kǐ cɔ̀fà',cahier de texte
bǎ’kwiαg,tousser
bɔ̀li,soutien-gorge
bù'libagbagə,margouillat
bə̀làm,cube maggi
bǒ'lɛn,courge
bə̀lòŋ,patate
bə̌mα,frère de différents dégrés
bʉ mɛn,annoncer une naissance
bʉ̂mɛn,cadeau
bù’mbαb,sorte de souris des champs
bu'mfə,rame de papier
bu'mfu,pharmacie
bu'mfʉm,paquet vide
bə̀nə,baisser
bɛ̀nə,rentrer
bɛ̌n ndα,retourner au foyer conjugal
bα̌nbαn,zéro
bu'ndə̀bà',paquet de cigarettes
bu'ndəb,paquet de coton
bə'ngòn,grosesse précoce
bu'ngwa,paquet de sel
bα̂nku'u,taro pilé
bǎ’nkuὰn,témoigner
bα̂nnjαb,couscous avec la purée de légumes
bɛ̌nnjàm,rentrer
bə̀ntə̌,courber
bɛ̀ntə̌,reculer
bʉ̀ntə̌,répondre
bò'ntʉ̀n,variété de courge
bù'nyὰm,hérisson
bu'nzwə,rouleau de tissu
bu'ŋwà'nì,livre
bǎ'tu,se purifier
be'tə,ajourner
bə'tə,casser
bə̌tα,frère de différents dégrés
bà’tə̌,rembourser
